r_id,ageyrs,startingocc,startingsector,endingocc,endingsector,abswagech3,sectorchgto_mgmt,gender,Education at start,Education at end,Starting occupational cluster,Alternate starting occupational cluster,path
6069171p,23.0,5840,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5840, 'Unemployed'"
3117,21.583334,5540,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5540, 'Unemployed'"
3195173p,26.0,5400,Office & Admin Sppt,5400.0,Office & Admin Sppt,2.3196793,0,F,1,1,Office & Admin Sppt,,5400
496184p,19.0,5240,Office & Admin Sppt,9820.0,All other,0.59010315,0,F,1,1,Office & Admin Sppt,,"5240, 9820"
8002,19.416666,5620,Office & Admin Sppt,9360.0,Transportation,-1.1712217,0,M,1,1,Office & Admin Sppt,,"5620, 'Unemployed', 6050, 'Unemployed', 4020, 9360"
6664173p,25.0,5500,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5500, 'Unemployed', 5500, 'Unemployed'"
6108173p,24.0,5330,Office & Admin Sppt,2320.0,Educ/Legal/Social Services,1.7460194,0,F,3,3,Office & Admin Sppt,,"5330, 2320"
2478030p,26.0,5810,Office & Admin Sppt,5110.0,Office & Admin Sppt,1.0509806,0,F,1,1,Office & Admin Sppt,,"5810, 5110"
2280030p,29.0,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,-4.2462444,0,F,2,3,Office & Admin Sppt,,5000
7532,27.5,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,-1.1027374,0,M,0,0,Office & Admin Sppt,,5000
8871,21.583334,5160,Office & Admin Sppt,620.0,Mgmt/Biz/Financial,14.960964,0,F,1,3,Office & Admin Sppt,,"5160, 1000, 5240, 'Student', 'Unemployed', 620"
899033p,20.0,5160,Office & Admin Sppt,5700.0,Office & Admin Sppt,0.15401554,0,F,1,1,Office & Admin Sppt,,"5160, 5700"
5177032p,21.0,5240,Office & Admin Sppt,5120.0,Office & Admin Sppt,0.14153576,0,F,0,0,Office & Admin Sppt,,"5240, 5120"
1377030p,29.0,5620,Office & Admin Sppt,530.0,Mgmt/Biz/Financial,-1.6193218,0,M,1,1,Office & Admin Sppt,,"5620, 510, 530"
3078004p,34.0,5240,Office & Admin Sppt,5240.0,Office & Admin Sppt,-0.0051212311,0,F,2,2,Office & Admin Sppt,,5240
6519031p,29.0,5260,Office & Admin Sppt,5700.0,Office & Admin Sppt,5.4233761,0,F,1,1,Office & Admin Sppt,,"5260, 'Unemployed', 5260, 'Unemployed', 5700"
8068,21.666666,5100,Office & Admin Sppt,2340.0,Educ/Legal/Social Services,2.8761454,0,F,1,3,Office & Admin Sppt,,"5100, 2340"
3057001p,33.0,5100,Office & Admin Sppt,5420.0,Office & Admin Sppt,0.35825539,0,M,1,1,Office & Admin Sppt,,"5100, 5420"
6798,27.083334,5240,Office & Admin Sppt,,Not Employed,,0,M,2,2,Office & Admin Sppt,,"5240, 'Unemployed'"
109,19.5,5820,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5820, 'Student', 5240, 'Student', 5240, 'Student'"
5784032p,25.0,5240,Office & Admin Sppt,5840.0,Office & Admin Sppt,8.3782711,0,F,1,1,Office & Admin Sppt,,"5240, 'Unemployed', 5700, 'Unemployed', 5840"
121033p,21.0,5620,Office & Admin Sppt,,Not Employed,,0,M,1,1,Office & Admin Sppt,,"5620, 'Unemployed'"
1579186p,22.0,5160,Office & Admin Sppt,5000.0,Office & Admin Sppt,6.3111858,0,F,1,1,Office & Admin Sppt,,"5160, 5000"
1387030p,29.0,5400,Office & Admin Sppt,820.0,Mgmt/Biz/Financial,7.3443031,0,F,3,3,Office & Admin Sppt,,"5400, 'Unemployed', 820"
6229032p,26.0,5510,Office & Admin Sppt,,Not Employed,,0,F,0,0,Office & Admin Sppt,,"5510, 'Unemployed', 5510, 'Unemployed'"
6624,25.333334,5400,Office & Admin Sppt,5700.0,Office & Admin Sppt,6.6569672,0,F,2,2,Office & Admin Sppt,,"5400, 5700"
692032p,23.0,5160,Office & Admin Sppt,5340.0,Office & Admin Sppt,0.83292198,0,F,1,1,Office & Admin Sppt,,"5160, 5340"
112,20.583334,5260,Office & Admin Sppt,2010.0,Educ/Legal/Social Services,4.7036638,0,F,1,3,Office & Admin Sppt,,"5260, 4060, 2540, 4110, 2540, 2000, 2010"
2515032p,31.0,5620,Office & Admin Sppt,8620.0,Production,-1.8643398,0,M,1,1,Office & Admin Sppt,,"5620, 8620"
3266002p,33.0,5860,Office & Admin Sppt,4600.0,Personal Service,-3.1857967,0,F,1,1,Office & Admin Sppt,,"5860, 'Unemployed', 4600"
2603184p,29.0,5000,Office & Admin Sppt,4210.0,Personal Service,5.1367702,0,M,1,1,Office & Admin Sppt,,"5000, 4210"
1893035p,25.0,5100,Office & Admin Sppt,5100.0,Office & Admin Sppt,-0.29476643,0,F,1,1,Office & Admin Sppt,,5100
1565183p,29.0,5600,Office & Admin Sppt,5600.0,Office & Admin Sppt,-0.22039795,0,F,2,2,Office & Admin Sppt,,5600
5801,26.916666,5700,Office & Admin Sppt,3400.0,Healthcare,-0.28770733,0,F,1,1,Office & Admin Sppt,,"5700, 3400"
3117003p,26.0,5840,Office & Admin Sppt,,Not Employed,,0,F,2,2,Office & Admin Sppt,,"5840, 'Unemployed', 5840, 'Unemployed'"
1434032p,32.0,5600,Office & Admin Sppt,5600.0,Office & Admin Sppt,5.4223289,0,F,1,1,Office & Admin Sppt,,"5600, 5860, 5600"
2502031p,26.0,5000,Office & Admin Sppt,410.0,Mgmt/Biz/Financial,6.9758663,1,F,1,3,Office & Admin Sppt,,"5000, 410"
3483003p,24.0,5700,Office & Admin Sppt,5700.0,Office & Admin Sppt,-1.5223484,0,F,1,3,Office & Admin Sppt,,5700
712173p,28.0,5860,Office & Admin Sppt,2000.0,Educ/Legal/Social Services,2.8720989,0,M,3,3,Office & Admin Sppt,,"5860, 3240, 2000"
3365004p,24.0,5860,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5860, 'Unemployed'"
2655173p,33.0,5620,Office & Admin Sppt,5620.0,Office & Admin Sppt,0.17640209,0,F,0,1,Office & Admin Sppt,,5620
1918030p,24.0,5530,Office & Admin Sppt,5530.0,Office & Admin Sppt,4.1328335,0,M,1,1,Office & Admin Sppt,,5530
2661215p,20.0,5140,Office & Admin Sppt,8740.0,Production,2.0497036,0,F,1,1,Office & Admin Sppt,,"5140, 8740"
365,25.75,5860,Office & Admin Sppt,5110.0,Office & Admin Sppt,-20.95582,0,F,1,1,Office & Admin Sppt,,"5860, 'Unemployed', 5110, 'Unemployed', 5110"
773033p,25.0,5310,Office & Admin Sppt,5310.0,Office & Admin Sppt,-0.54286671,0,F,1,1,Office & Admin Sppt,,5310
5292039p,22.0,5100,Office & Admin Sppt,5120.0,Office & Admin Sppt,3.4589252,0,F,1,1,Office & Admin Sppt,,"5100, 5120"
1353174p,29.0,5860,Office & Admin Sppt,5700.0,Office & Admin Sppt,1.2220573,0,F,3,3,Office & Admin Sppt,,"5860, 5700"
1695030p,32.0,5240,Office & Admin Sppt,4850.0,Sales,-0.7336235,0,F,1,1,Office & Admin Sppt,,"5240, 4850"
545,19.416666,5160,Office & Admin Sppt,5810.0,Office & Admin Sppt,9.5046911,0,M,1,1,Office & Admin Sppt,,"5160, 120, 4760, 5810"
1345,18.416666,5240,Office & Admin Sppt,5260.0,Office & Admin Sppt,-0.78091621,0,F,1,1,Office & Admin Sppt,,"5240, 5120, 5240, 5120, 3650, 5260"
5397034p,25.0,5000,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5000, 'Unemployed', 5000, 'Unemployed'"
7941,22.5,5860,Office & Admin Sppt,5860.0,Office & Admin Sppt,0.1356554,0,F,1,1,Office & Admin Sppt,,"5860, 'Student', 5860"
921178p,25.0,5840,Office & Admin Sppt,4810.0,Sales,-0.29693794,0,F,1,1,Office & Admin Sppt,,"5840, 4810"
3013,18.5,5260,Office & Admin Sppt,3600.0,Healthcare,6.1686258,0,F,0,1,Office & Admin Sppt,,"5260, 'Student', 5260, 3600"
1127177p,25.0,5240,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5240, 'Unemployed'"
445174p,27.0,5160,Office & Admin Sppt,5160.0,Office & Admin Sppt,3.0725746,0,F,1,1,Office & Admin Sppt,,5160
5814040p,24.0,5700,Office & Admin Sppt,5700.0,Office & Admin Sppt,0.70583248,0,M,2,2,Office & Admin Sppt,,5700
6939,18.0,5510,Office & Admin Sppt,2140.0,Educ/Legal/Social Services,5.7080164,0,M,0,1,Office & Admin Sppt,,"5510, 5000, 'Unemployed', 5110, 2140"
1394184p,32.0,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,-1.7547207,0,F,2,1,Office & Admin Sppt,,5000
809,19.833334,5240,Office & Admin Sppt,4960.0,Sales,5.5218754,0,F,1,1,Office & Admin Sppt,,"5240, 'Unemployed', 3640, 5240, 4960"
363,24.083334,5400,Office & Admin Sppt,5400.0,Office & Admin Sppt,1.0160351,0,F,1,1,Office & Admin Sppt,,5400
1878175p,25.0,5160,Office & Admin Sppt,,Not Employed,,0,F,3,3,Office & Admin Sppt,,"5160, 'Unemployed'"
5165,22.583334,5260,Office & Admin Sppt,710.0,Mgmt/Biz/Financial,22.26112,0,M,1,3,Office & Admin Sppt,,"5260, 'Student', 4430, 'Student', 710"
2717030p,33.0,5150,Office & Admin Sppt,5220.0,Office & Admin Sppt,0.21559906,0,F,1,1,Office & Admin Sppt,,"5150, 'Unemployed', 5220"
1911030p,28.0,5120,Office & Admin Sppt,5700.0,Office & Admin Sppt,0.17817211,0,F,1,1,Office & Admin Sppt,,"5120, 5700"
1692030p,32.0,5240,Office & Admin Sppt,5420.0,Office & Admin Sppt,-0.8425293,0,F,0,0,Office & Admin Sppt,,"5240, 5420"
5764,18.666666,5700,Office & Admin Sppt,5260.0,Office & Admin Sppt,0.0,0,F,0,1,Office & Admin Sppt,,"5700, 'Unemployed', 'Student', 4060, 'Student', 5260"
8949,18.083334,5410,Office & Admin Sppt,6050.0,All other,3.3457546,0,M,0,0,Office & Admin Sppt,,"5410, 6050, 5620, 6050, 'Student', 6050"
1356,31.333334,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,-5.3448257,0,F,0,0,Office & Admin Sppt,,5000
2781,19.833334,5510,Office & Admin Sppt,5930.0,Office & Admin Sppt,4.5080147,0,F,1,1,Office & Admin Sppt,,"5510, 5930"
6231031p,30.0,5350,Office & Admin Sppt,5240.0,Office & Admin Sppt,2.5406971,0,F,1,1,Office & Admin Sppt,,"5350, 5240"
1335179p,34.0,5000,Office & Admin Sppt,310.0,Personal Service,-0.50284386,0,F,1,2,Office & Admin Sppt,,"5000, 310"
7204,21.333334,5400,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5400, 'Unemployed'"
2611034p,29.0,5530,Office & Admin Sppt,950.0,Mgmt/Biz/Financial,2.8797493,0,F,1,1,Office & Admin Sppt,,"5530, 950"
5826032p,26.0,5300,Office & Admin Sppt,3230.0,Healthcare,15.193204,0,F,3,3,Office & Admin Sppt,,"5300, 3230"
2457,22.166666,5400,Office & Admin Sppt,4230.0,Personal Service,-11.147278,0,F,1,1,Office & Admin Sppt,,"5400, 4230"
2615187p,26.0,5120,Office & Admin Sppt,4900.0,Sales,0.99531937,0,F,2,2,Office & Admin Sppt,,"5120, 4900"
2636030p,30.0,5550,Office & Admin Sppt,5550.0,Office & Admin Sppt,3.1059418,0,M,1,1,Office & Admin Sppt,,5550
7184,21.75,5020,Office & Admin Sppt,540.0,Mgmt/Biz/Financial,-1.2107239,0,M,1,1,Office & Admin Sppt,,"5020, 540"
50030p,31.0,5700,Office & Admin Sppt,5700.0,Office & Admin Sppt,4.0873547,0,F,3,3,Office & Admin Sppt,,5700
8968,22.0,5240,Office & Admin Sppt,,Not Employed,,0,F,0,0,Office & Admin Sppt,,"5240, 5610, 5700, 'Unemployed', 5700, 'Unemployed'"
844,19.916666,5160,Office & Admin Sppt,800.0,Mgmt/Biz/Financial,9.5769033,0,F,1,3,Office & Admin Sppt,,"5160, 5340, 800"
5220,20.666666,5620,Office & Admin Sppt,5620.0,Office & Admin Sppt,0.32917881,0,M,1,3,Office & Admin Sppt,,5620
1830032p,24.0,5700,Office & Admin Sppt,5930.0,Office & Admin Sppt,0.95860958,0,F,3,3,Office & Admin Sppt,,"5700, 5930"
79032p,27.0,5400,Office & Admin Sppt,,Not Employed,,0,F,3,3,Office & Admin Sppt,,"5400, 'Unemployed'"
2802172p,31.0,5120,Office & Admin Sppt,5120.0,Office & Admin Sppt,-0.12530327,0,F,1,1,Office & Admin Sppt,,5120
6154032p,34.0,5260,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5260, 'Unemployed'"
2409180p,27.0,5700,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5700, 'Unemployed'"
4496,18.333334,5400,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5400, 'Unemployed', 4760, 5400, 'Unemployed'"
2416031p,24.0,5000,Office & Admin Sppt,5100.0,Office & Admin Sppt,0.0090446472,0,F,2,2,Office & Admin Sppt,,"5000, 5100"
60184p,24.0,5840,Office & Admin Sppt,5700.0,Office & Admin Sppt,-0.74597359,0,F,1,3,Office & Admin Sppt,,"5840, 5700"
6765,20.0,5900,Office & Admin Sppt,5900.0,Office & Admin Sppt,2.4773054,0,F,1,1,Office & Admin Sppt,,"5900, 'Unemployed', 5900"
1763030p,30.0,5700,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5700, 5860, 'Unemployed'"
5965177p,31.0,5000,Office & Admin Sppt,,Not Employed,,0,F,2,1,Office & Admin Sppt,,"5000, 'Unemployed'"
2151037p,21.0,5840,Office & Admin Sppt,5810.0,Office & Admin Sppt,1.3228483,0,F,1,1,Office & Admin Sppt,,"5840, 5810"
652176p,23.0,5420,Office & Admin Sppt,,Not Employed,,0,F,3,3,Office & Admin Sppt,,"5420, 'Unemployed'"
1236,19.916666,5860,Office & Admin Sppt,,Not Employed,,0,M,0,1,Office & Admin Sppt,,"5860, 'Unemployed'"
6571030p,34.0,5520,Office & Admin Sppt,5520.0,Office & Admin Sppt,0.0,0,F,1,1,Office & Admin Sppt,,"5520, 3600, 5520"
6860,23.0,5240,Office & Admin Sppt,120.0,Mgmt/Biz/Financial,1.0674515,1,M,1,3,Office & Admin Sppt,,"5240, 120"
709038p,19.0,5160,Office & Admin Sppt,5160.0,Office & Admin Sppt,1.4732857,0,F,1,1,Office & Admin Sppt,,5160
3438170p,33.0,5240,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5240, 'Unemployed', 4720, 'Unemployed'"
1377173p,30.0,5000,Office & Admin Sppt,5600.0,Office & Admin Sppt,26.74934,0,F,3,3,Office & Admin Sppt,,"5000, 5600"
1051039p,25.0,5400,Office & Admin Sppt,5400.0,Office & Admin Sppt,5.1864882,0,F,1,1,Office & Admin Sppt,,5400
1144034p,24.0,5120,Office & Admin Sppt,5120.0,Office & Admin Sppt,-0.22139359,0,F,2,2,Office & Admin Sppt,,5120
7460,23.083334,5400,Office & Admin Sppt,,Not Employed,,0,F,1,2,Office & Admin Sppt,,"5400, 'Unemployed', 'Student'"
1978030p,31.0,5000,Office & Admin Sppt,800.0,Mgmt/Biz/Financial,5.0916748,0,F,2,2,Office & Admin Sppt,,"5000, 800"
3474171p,24.0,5310,Office & Admin Sppt,5310.0,Office & Admin Sppt,3.8590517,0,F,1,1,Office & Admin Sppt,,5310
1840,19.416666,5350,Office & Admin Sppt,1060.0,IT,13.256491,0,F,1,1,Office & Admin Sppt,,"5350, 2020, 2150, 5920, 1060"
3196003p,23.0,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,3.804884,0,F,3,3,Office & Admin Sppt,,5000
2432034p,25.0,5240,Office & Admin Sppt,5240.0,Office & Admin Sppt,0.43332005,0,F,1,1,Office & Admin Sppt,,5240
1335199p,20.0,5700,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5700, 'Unemployed'"
5495030p,33.0,5240,Office & Admin Sppt,5160.0,Office & Admin Sppt,1.0899048,0,F,1,1,Office & Admin Sppt,,"5240, 5160"
2783031p,25.0,5000,Office & Admin Sppt,1810.0,Engineer/Sci/Arch,4.2892952,0,F,3,3,Office & Admin Sppt,,"5000, 'Unemployed', 1810"
3489,18.666666,5860,Office & Admin Sppt,5860.0,Office & Admin Sppt,1.5092316,0,F,1,1,Office & Admin Sppt,,"5860, 'Student', 4720, 'Student', 5860"
2290,31.25,5700,Office & Admin Sppt,3630.0,Healthcare,33.559666,0,M,3,3,Office & Admin Sppt,,"5700, 'Unemployed', 3630"
5052195p,24.0,5700,Office & Admin Sppt,5700.0,Office & Admin Sppt,1.7433014,0,F,1,1,Office & Admin Sppt,,5700
922030p,34.0,5100,Office & Admin Sppt,5000.0,Office & Admin Sppt,1.5395412,0,F,1,1,Office & Admin Sppt,,"5100, 5000"
3037,19.666666,5160,Office & Admin Sppt,5160.0,Office & Admin Sppt,2.7664633,0,F,1,1,Office & Admin Sppt,,5160
1000032p,22.0,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,-0.74837303,0,M,1,1,Office & Admin Sppt,,5000
2611035p,32.0,5120,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5120, 'Unemployed'"
3363,19.333334,5820,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5820, 'Student', 2050, 'Student'"
191171p,28.0,5000,Office & Admin Sppt,5110.0,Office & Admin Sppt,1.974144,0,F,1,1,Office & Admin Sppt,,"5000, 5110"
7342,19.916666,5310,Office & Admin Sppt,,Not Employed,,0,M,0,0,Office & Admin Sppt,,"5310, 'Student', 'Unemployed'"
2515037p,29.0,5700,Office & Admin Sppt,9830.0,All other,5.7946396,0,F,1,1,Office & Admin Sppt,,"5700, 9830"
2895033p,19.0,5510,Office & Admin Sppt,9820.0,All other,3.7859182,0,M,1,1,Office & Admin Sppt,,"5510, 'Unemployed', 9820"
2444,30.75,5110,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5110, 'Unemployed', 5400, 'Unemployed'"
2181187p,34.0,5700,Office & Admin Sppt,9800.0,All other,7.8630028,0,M,1,1,Office & Admin Sppt,,"5700, 9800"
3250,19.916666,5820,Office & Admin Sppt,5700.0,Office & Admin Sppt,3.6997757,0,F,1,1,Office & Admin Sppt,,"5820, 5700"
5757033p,28.0,5400,Office & Admin Sppt,5420.0,Office & Admin Sppt,2.0904846,0,F,1,1,Office & Admin Sppt,,"5400, 5420"
1692,21.25,5400,Office & Admin Sppt,4810.0,Sales,4.9890909,0,M,1,3,Office & Admin Sppt,,"5400, 'Student', 4810"
2522,19.0,5800,Office & Admin Sppt,1540.0,Engineer/Sci/Arch,6.7299738,0,M,0,1,Office & Admin Sppt,,"5800, 'Student', 1530, 6260, 1530, 6260, 1530, 1550, 1530, 1540"
119031p,27.0,5240,Office & Admin Sppt,5240.0,Office & Admin Sppt,0.148839,0,F,1,1,Office & Admin Sppt,,5240
622,23.583334,5400,Office & Admin Sppt,5400.0,Office & Admin Sppt,0.40821648,0,F,1,1,Office & Admin Sppt,,5400
6606,22.0,5620,Office & Admin Sppt,,Not Employed,,0,M,1,1,Office & Admin Sppt,,"5620, 'Unemployed'"
1072032p,21.0,5310,Office & Admin Sppt,5310.0,Office & Admin Sppt,3.8524494,0,F,1,1,Office & Admin Sppt,,5310
2816033p,22.0,5700,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5700, 'Unemployed'"
5623035p,29.0,5420,Office & Admin Sppt,5420.0,Office & Admin Sppt,-14.808931,0,F,2,2,Office & Admin Sppt,,5420
245174p,29.0,5860,Office & Admin Sppt,430.0,Mgmt/Biz/Financial,0.25595474,1,F,1,1,Office & Admin Sppt,,"5860, 430"
5950,22.75,5840,Office & Admin Sppt,5840.0,Office & Admin Sppt,1.7767677,0,M,1,1,Office & Admin Sppt,,5840
1070031p,28.0,5510,Office & Admin Sppt,,Not Employed,,0,M,1,1,Office & Admin Sppt,,"5510, 'Unemployed'"
5299045p,19.0,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,5.6751919,0,F,1,1,Office & Admin Sppt,,"5000, 5100, 5000"
5485,20.166666,5840,Office & Admin Sppt,5840.0,Office & Admin Sppt,1.5848627,0,F,1,2,Office & Admin Sppt,,5840
88031p,22.0,5410,Office & Admin Sppt,560.0,Mgmt/Biz/Financial,5.277813,0,F,3,3,Office & Admin Sppt,,"5410, 20, 560"
1485033p,22.0,5860,Office & Admin Sppt,2330.0,Educ/Legal/Social Services,6.9327526,0,F,3,1,Office & Admin Sppt,,"5860, 2330"
1269030p,28.0,5000,Office & Admin Sppt,5000.0,Office & Admin Sppt,7.8193226,0,F,1,1,Office & Admin Sppt,,5000
1000035p,24.0,5200,Office & Admin Sppt,,Not Employed,,0,M,3,3,Office & Admin Sppt,,"5200, 120, 'Unemployed'"
1571030p,31.0,5120,Office & Admin Sppt,5810.0,Office & Admin Sppt,0.58261299,0,F,1,1,Office & Admin Sppt,,"5120, 5810"
984033p,25.0,5120,Office & Admin Sppt,5900.0,Office & Admin Sppt,0.74968815,0,F,1,1,Office & Admin Sppt,,"5120, 5900"
5048034p,26.0,5820,Office & Admin Sppt,940.0,Mgmt/Biz/Financial,0.17935181,0,F,1,1,Office & Admin Sppt,,"5820, 940"
1917031p,29.0,5700,Office & Admin Sppt,5930.0,Office & Admin Sppt,1.9235849,0,F,3,3,Office & Admin Sppt,,"5700, 5930"
5756,22.833334,5530,Office & Admin Sppt,1430.0,Engineer/Sci/Arch,13.922065,0,M,2,2,Office & Admin Sppt,,"5530, 1430"
6682030p,30.0,5100,Office & Admin Sppt,5120.0,Office & Admin Sppt,-0.46315193,0,F,1,1,Office & Admin Sppt,,"5100, 5120"
1866030p,22.0,5320,Office & Admin Sppt,5860.0,Office & Admin Sppt,7.4295731,0,M,3,3,Office & Admin Sppt,,"5320, 'Unemployed', 5860"
3402,18.333334,5860,Office & Admin Sppt,5860.0,Office & Admin Sppt,1.2858343,0,F,0,1,Office & Admin Sppt,,5860
4565,20.0,5260,Office & Admin Sppt,5400.0,Office & Admin Sppt,3.8649836,0,F,1,1,Office & Admin Sppt,,"5260, 5400"
2151183p,33.0,5800,Office & Admin Sppt,5800.0,Office & Admin Sppt,-0.95720863,0,F,3,3,Office & Admin Sppt,,5800
5066037p,25.0,5860,Office & Admin Sppt,50.0,Mgmt/Biz/Financial,4.6121521,1,F,3,3,Office & Admin Sppt,,"5860, 50"
6616031p,23.0,5240,Office & Admin Sppt,5120.0,Office & Admin Sppt,0.24561501,0,F,1,1,Office & Admin Sppt,,"5240, 5120"
4494,20.583334,5610,Office & Admin Sppt,7420.0,Maintenance/Repair,6.2491722,0,M,0,0,Office & Admin Sppt,,"5610, 7410, 7420"
7242,18.666666,5160,Office & Admin Sppt,5340.0,Office & Admin Sppt,12.77672,0,M,1,1,Office & Admin Sppt,,"5160, 120, 5340"
2782183p,24.0,5840,Office & Admin Sppt,5840.0,Office & Admin Sppt,-2.0850277,0,F,1,1,Office & Admin Sppt,,"5840, 5860, 5840"
5965182p,34.0,5700,Office & Admin Sppt,410.0,Mgmt/Biz/Financial,-13.166166,1,F,1,1,Office & Admin Sppt,,"5700, 410"
8457,18.0,5810,Office & Admin Sppt,,Not Employed,,0,M,0,0,Office & Admin Sppt,,"5810, 9620, 4020, 'Student', 'Unemployed', 'Student'"
1101,29.0,5620,Office & Admin Sppt,,Not Employed,,0,F,0,0,Office & Admin Sppt,,"5620, 'Unemployed'"
2852032p,29.0,5400,Office & Admin Sppt,3130.0,Healthcare,16.599932,0,F,1,2,Office & Admin Sppt,,"5400, 3130"
577,27.333334,5240,Office & Admin Sppt,1300.0,Engineer/Sci/Arch,4.108881,0,M,2,2,Office & Admin Sppt,,"5240, 1300"
3203002p,24.0,5400,Office & Admin Sppt,,Not Employed,,0,F,2,3,Office & Admin Sppt,,"5400, 2140, 'Unemployed', 2140, 'Unemployed'"
1037031p,24.0,5240,Office & Admin Sppt,4710.0,Sales,0.29699802,0,F,1,1,Office & Admin Sppt,,"5240, 4710"
3931,18.916666,5350,Office & Admin Sppt,6420.0,Construction,-3.7248297,0,M,0,1,Office & Admin Sppt,,"5350, 'Unemployed', 6420"
1684,24.0,5700,Office & Admin Sppt,,Not Employed,,0,F,1,1,Office & Admin Sppt,,"5700, 'Unemployed'"
127174p,24.0,5000,Office & Admin Sppt,950.0,Mgmt/Biz/Financial,0.86234283,0,F,3,3,Office & Admin Sppt,,"5000, 950"
5570031p,34.0,5400,Office & Admin Sppt,1060.0,IT,-1.2454071,0,F,1,1,Office & Admin Sppt,,"5400, 1060"
641176p,34.0,5110,Office & Admin Sppt,5110.0,Office & Admin Sppt,2.5667286,0,F,3,3,Office & Admin Sppt,,5110
2032185p,21.0,5860,Office & Admin Sppt,,Not Employed,,0,F,2,2,Office & Admin Sppt,,"5860, 5400, 5860, 'Unemployed'"
2248032p,26.0,5810,Office & Admin Sppt,5350.0,Office & Admin Sppt,4.6015348,0,F,1,1,Office & Admin Sppt,,"5810, 5610, 5350"
8178,28.833334,5700,Office & Admin Sppt,5700.0,Office & Admin Sppt,0.10343552,0,F,1,1,Office & Admin Sppt,,5700
3098170p,26.0,5620,Office & Admin Sppt,3920.0,Protective Services,5.5839357,0,F,3,3,Office & Admin Sppt,,"5620, 3920"
2327177p,28.0,5110,Office & Admin Sppt,3600.0,Healthcare,-0.65269089,0,F,1,2,Office & Admin Sppt,,"5110, 3600"
3507170p,30.0,5300,Office & Admin Sppt,340.0,Personal Service,1.9765673,0,F,0,0,Office & Admin Sppt,,"5300, 340"
1288173p,30.0,5240,Office & Admin Sppt,1110.0,IT,-1.3283825,0,M,3,3,Office & Admin Sppt,,"5240, 1110"
2910176p,25.0,5630,Office & Admin Sppt,6200.0,Construction,4.7324295,0,M,1,1,Office & Admin Sppt,,"5630, 4710, 6200"
6575179p,18.0,5160,Office & Admin Sppt,5160.0,Office & Admin Sppt,4.3353939,0,F,1,1,Office & Admin Sppt,,5160
3432001p,29.0,5610,Office & Admin Sppt,9740.0,Transportation,0.78857422,0,M,1,1,Office & Admin Sppt,,"5610, 9740"
2781032p,29.0,5700,Office & Admin Sppt,5100.0,Office & Admin Sppt,-0.89698219,0,F,3,3,Office & Admin Sppt,,"5700, 800, 5100"
297037p,27.0,5250,Office & Admin Sppt,5250.0,Office & Admin Sppt,7.9319115,0,F,2,2,Office & Admin Sppt,,"5250, 5260, 5250"
1081174p,23.0,5600,Office & Admin Sppt,5000.0,Office & Admin Sppt,8.879734,0,F,1,1,Office & Admin Sppt,,"5600, 5000"
7094,21.416666,5700,Office & Admin Sppt,5700.0,Office & Admin Sppt,-1.0709438,0,F,0,1,Office & Admin Sppt,,5700
709,23.333334,5230,Office & Admin Sppt,5230.0,Office & Admin Sppt,-1.855073,0,F,1,1,Office & Admin Sppt,,5230
2731031p,28.0,5840,Office & Admin Sppt,730.0,Mgmt/Biz/Financial,0.64683723,0,F,1,1,Office & Admin Sppt,,"5840, 730"
5560036p,26.0,5010,Office & Admin Sppt,5240.0,Office & Admin Sppt,-0.22876263,0,F,1,1,Office & Admin Sppt,,"5010, 5240"
423176p,26.0,5120,Office & Admin Sppt,5120.0,Office & Admin Sppt,0.84523773,0,F,1,1,Office & Admin Sppt,,5120
